Protein	Description	Gene	negtive	positive	gene_name
P18615	Negative elongation factor E 	NELFE	226025	0	NELFE
P19224	UDP-glucuronosyltransferase 1-6 	UGT1A6	594521.15625	0	UGT1A6
P19525	Interferon-induced, double-stranded RNA-activated protein kinase 	EIF2AK2	273966.4765625	0	EIF2AK2
P19784	Casein kinase II subunit alpha 	CSNK2A2	1894553.0625	1018920.453125	CSNK2A2
P20020	Plasma membrane calcium-transporting ATPase 1 	ATP2B1	0	0	ATP2B1
P20645	Cation-dependent mannose-6-phosphate receptor 	M6PR	2861628.59375	4640427.078125	M6PR
P22310	UDP-glucuronosyltransferase 1-4 	UGT1A4	0	131849.265625	UGT1A4
P22626	Heterogeneous nuclear ribonucleoproteins A2/B1 	HNRNPA2B1	6211650.203125	0	HNRNPA2B1
P22695	Cytochrome b-c1 complex subunit 2, mitochondrial 	UQCRC2	0	333874.78125	UQCRC2
P23396	40S ribosomal protein S3 	RPS3	0	274029.15625	RPS3
P23610	Factor VIII intron 22 protein 	F8A1	0	0	F8A1
P24752	Acetyl-CoA acetyltransferase, mitochondrial 	ACAT1	33170273.34375	26240807.859375	ACAT1
P25490	Transcriptional repressor protein YY1 	YY1	136812.21875	0	YY1
P25685	DnaJ homolog subfamily B member 1 	DNAJB1	1895631.2265625	7806681.390625	DNAJB1
P25705	ATP synthase subunit alpha, mitochondrial 	ATP5F1A	24891123.8125	2149972.140625	ATP5F1A
P25963	NF-kappa-B inhibitor alpha 	NFKBIA	0	0	NFKBIA
P26373	60S ribosomal protein L13 	RPL13	0	0	RPL13
P26641	Elongation factor 1-gamma 	EEF1G	129656.5546875	0	EEF1G
P27169	Serum paraoxonase/arylesterase 1 	PON1	3935684.53125	3359246.125	PON1
P27824	Calnexin 	CANX	1756314.78125	3524936.90625	CANX
P29317	Ephrin type-A receptor 2 	EPHA2	1114101.6796875	674722.78125	EPHA2
P29966	Myristoylated alanine-rich C-kinase substrate 	MARCKS	2518155.015625	720477.25	MARCKS
P29992	Guanine nucleotide-binding protein subunit alpha-11 	GNA11	148043.046875	0	GNA11
P30622	CAP-Gly domain-containing linker protein 1 	CLIP1	128499.7421875	0	CLIP1
P30740	Leukocyte elastase inhibitor 	SERPINB1	665194.921875	0	SERPINB1
P31153	S-adenosylmethionine synthase isoform type-2 	MAT2A	0	108023.4296875	MAT2A
P31930	Cytochrome b-c1 complex subunit 1, mitochondrial 	UQCRC1	230942.21875	0	UQCRC1
P31942	Heterogeneous nuclear ribonucleoprotein H3 	HNRNPH3	1079678.84375	292009.9609375	HNRNPH3
P35527	Keratin, type I cytoskeletal 9 	KRT9	40266830.703125	88094189.6875	KRT9
P35900	Keratin, type I cytoskeletal 20 	KRT20	0	0	KRT20
P35908	Keratin, type II cytoskeletal 2 epidermal 	KRT2	28888946.96875	40094857.515625	KRT2
P35998	26S proteasome regulatory subunit 7 	PSMC2	117542.8046875	0	PSMC2
P36551	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial 	CPOX	714595.1875	5813773.0625	CPOX
P37059	Estradiol 17-beta-dehydrogenase 2 	HSD17B2	3363950.84375	6718679.140625	HSD17B2
P37837	Transaldolase 	TALDO1	0	4949987.5	TALDO1
P38159	RNA-binding motif protein, X chromosome 	RBMX	1605622.125	582005.375	RBMX
P39023	60S ribosomal protein L3 	RPL3	1137846.4609375	461888.34375	RPL3
P40925	Malate dehydrogenase, cytoplasmic 	MDH1	2484058.75	2816887.9375	MDH1
P41250	Glycine--tRNA ligase 	GARS	341644.1328125	0	GARS1
P42166	Lamina-associated polypeptide 2, isoform alpha 	TMPO	340519.5703125	0	TMPO
P46109	Crk-like protein 	CRKL	2096044.890625	223212.78125	CRKL
P46777	60S ribosomal protein L5 	RPL5	0	29073969	RPL5
P48735	Isocitrate dehydrogenase [NADP], mitochondrial 	IDH2	0	170823.15625	IDH2
P49006	MARCKS-related protein 	MARCKSL1	9468140.5	2585234.5	MARCKSL1
P49903	Selenide, water dikinase 1 	SEPHS1	7582979.359375	4939724.34375	SEPHS1
P50213	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial 	IDH3A	21713693.4375	34975300.53125	IDH3A
P50453	Serpin B9 	SERPINB9	2248419.875	706888.609375	SERPINB9
P50502	Hsc70-interacting protein 	ST13	0	207392.140625	ST13
P50990	T-complex protein 1 subunit theta 	CCT8	577026.3125	0	CCT8
P51398	28S ribosomal protein S29, mitochondrial 	DAP3	15167639.34375	17525529.4375	DAP3
P51553	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial 	IDH3G	2077239.5625	1787627.265625	IDH3G
P51991	Heterogeneous nuclear ribonucleoprotein A3 	HNRNPA3	4540779.375	3503595	HNRNPA3
P52597	Heterogeneous nuclear ribonucleoprotein F 	HNRNPF	665130.5	0	HNRNPF
P53367	Arfaptin-1 	ARFIP1	2898893.59375	918003.125	ARFIP1
P53384	Cytosolic Fe-S cluster assembly factor NUBP1 	NUBP1	1238151.3203125	0	NUBP1
P53582	Methionine aminopeptidase 1 	METAP1	418049.34375	0	METAP1
P53602	Diphosphomevalonate decarboxylase 	MVD	1322666.4140625	588089.625	MVD
P53609	Geranylgeranyl transferase type-1 subunit beta 	PGGT1B	379127.375	0	PGGT1B
P54105	Methylosome subunit pICln 	CLNS1A	410498.53125	187458.71875	CLNS1A
P54619	5-AMP-activated protein kinase subunit gamma-1 	PRKAG1	4186683.375	2088802.140625	PRKAG1
P54709	Sodium/potassium-transporting ATPase subunit beta-3 	ATP1B3	2674242.0625	4465301.5	ATP1B3
P54920	Alpha-soluble NSF attachment protein 	NAPA	0	229470.5625	NAPA
P55039	Developmentally-regulated GTP-binding protein 2 	DRG2	1620037.375	0	DRG2
P55735	Protein SEC13 homolog 	SEC13	8887326.6875	2525223.90625	SEC13
P56589	Peroxisomal biogenesis factor 3 	PEX3	1326740.625	506207	PEX3
P60709	Actin, cytoplasmic 1 	ACTB	70800816.84375	39136052.09375	ACTB
P61011	Signal recognition particle 54 kDa protein 	SRP54	0	0	SRP54
P61160	Actin-related protein 2 	ACTR2	4045432.296875	1203069.8203125	ACTR2
P61626	Lysozyme C 	LYZ	0	0	LYZ
P61962	DDB1- and CUL4-associated factor 7 	DCAF7	1903088.59375	624882.6875	DCAF7
P61964	WD repeat-containing protein 5 	WDR5	0	0	WDR5
P62879	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 	GNB2	0	267848.65625	GNB2
P67809	Nuclease-sensitive element-binding protein 1 	YBX1	4202200.2890625	0	YBX1
P68371	Tubulin beta-4B chain 	TUBB4B	1229011.8671875	0	TUBB4B
P78310	Coxsackievirus and adenovirus receptor 	CXADR	633923.5	1614367.140625	CXADR
P78318	Immunoglobulin-binding protein 1 	IGBP1	0	178792.421875	IGBP1
P78345	Ribonuclease P protein subunit p38 	RPP38	146993.3125	270615.46875	RPP38
P78406	mRNA export factor 	RAE1	4295732.9296875	2077571.28125	RAE1
P81605	Dermcidin 	DCD	1015149.125	715567.3125	DCD
P82650	28S ribosomal protein S22, mitochondrial 	MRPS22	30250502.546875	25072594.015625	MRPS22
P82673	28S ribosomal protein S35, mitochondrial 	MRPS35	7274722.40625	9552707.1015625	MRPS35
P82675	28S ribosomal protein S5, mitochondrial 	MRPS5	13611137.765625	4786212.234375	MRPS5
P82933	28S ribosomal protein S9, mitochondrial 	MRPS9	15542284.40625	12642684.375	MRPS9
Q00325	Phosphate carrier protein, mitochondrial 	SLC25A3	818923.90625	704530.4375	SLC25A3
Q00534	Cyclin-dependent kinase 6 	CDK6	1078022.375	210200.1875	CDK6
Q00796	Sorbitol dehydrogenase 	SORD	2905808.34375	89047.078125	SORD
Q01105	Protein SET 	SET	12719868.125	6382119.5	SET
Q01650	Large neutral amino acids transporter small subunit 1 	SLC7A5	42612687.5625	50501435.125	SLC7A5
Q02127	Dihydroorotate dehydrogenase (quinone), mitochondrial 	DHODH	14591443.578125	18867007.234375	DHODH
Q05D08	PA2G4 protein (Fragment) 	PA2G4	0	1824620.75	PA2G4
Q05DH5	EXTL2 protein (Fragment) 	EXTL2	118488.59375	144135.21875	EXTL2
Q09028	Histone-binding protein RBBP4 	RBBP4	0	0	RBBP4
Q12792	Twinfilin-1 	TWF1	6998088.25	3378891.265625	TWF1
Q12846	Syntaxin-4 	STX4	198895.71875	1725850.15625	STX4
Q12904	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 	AIMP1	0	101511.21875	AIMP1
Q13277	Syntaxin-3 	STX3	0	1236783.8125	STX3
Q13371	Phosducin-like protein 	PDCL	0	0	PDCL
Q13630	GDP-L-fucose synthase 	TSTA3	1300529.25	757426.34375	GFUS
Q13867	Bleomycin hydrolase 	BLMH	0	451903.640625	BLMH
Q13952	Nuclear transcription factor Y subunit gamma 	NFYC	128323.71875	0	NFYC
Q14240	Eukaryotic initiation factor 4A-II 	EIF4A2	0	96653.3515625	EIF4A2
Q14320	Protein FAM50A 	FAM50A	7389021.90625	3574105.375	FAM50A
Q14444	Caprin-1 	CAPRIN1	0	0	CAPRIN1
Q14473	Uncharacterized protein 		0	235144.515625	HBB
Q15149	Plectin 	PLEC	0	0	PLEC
Q15166	Serum paraoxonase/lactonase 3 	PON3	278207.0625	0	PON3
Q15257	Serine/threonine-protein phosphatase 2A activator 	PTPA	2664606.671875	0	PTPA
Q15293	Reticulocalbin-1 	RCN1	0	180614.1875	RCN1
Q15365	Poly(rC)-binding protein 1 	PCBP1	61785349.15625	34555355.484375	PCBP1
Q15417	Calponin-3 	CNN3	12304480.53125	2638503.90625	CNN3
Q15527	Surfeit locus protein 2 	SURF2	0	162123.640625	SURF2
Q15738	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating 	NSDHL	17802952.40625	16929346.203125	NSDHL
Q15814	Tubulin-specific chaperone C 	TBCC	0	0	TBCC
Q16186	Proteasomal ubiquitin receptor ADRM1 	ADRM1	12088801.7460938	5582503.8125	ADRM1
Q16651	Prostasin 	PRSS8	195239.5625	0	PRSS8
Q16658	Fascin 	FSCN1	572123.1875	0	FSCN1
Q16715	Pyruvate kinase (Fragment) 		0	468578.46875	PKLR
Q1HBJ4	Mitogen-activated protein kinase 	MAPK1	7055609.6875	922153.6875	MAPK1
Q2M1J6	Oxidase (Cytochrome c) assembly 1-like 	OXA1L	3863276.5	2290435.375	OXA1L
Q3B7K3	IKIP protein (Fragment) 	IKIP	180048.15625	125844.4296875	IKIP
Q495G5	MMAA protein 	MMAA	202406.3671875	103322.96875	MMAA
Q4G0F5	Vacuolar protein sorting-associated protein 26B 	VPS26B	200497.78125	0	VPS26B
Q4G0N4	NAD kinase 2, mitochondrial 	NADK2	3146881.0625	2277360.6484375	NADK2
Q4LE58	eIF4G1 variant protein (Fragment) 	EIF4G1	0	0	EIF4G1
Q53EN0	Zinc finger protein 330 variant (Fragment) 		0	0	ZNF330
Q53EU6	Glycerol-3-phosphate acyltransferase 3 	GPAT3	0	284541.03125	GPAT3
Q53FI8	DNA-directed RNA polymerase III 39 kDa polypeptide F variant (Fragment) 		0	523510.265625	POLR3F
Q53GA1	Elongation factor 1-alpha (Fragment) 		0	4023417.65625	EEF1A1
Q53GL6	RNA binding protein (Autoantigenic, hnRNP-associated with lethal yellow) long isoform variant (Fragment) 	RALY	1487266.703125	249315	RALY
Q53HA8	Mucolipin 1 variant (Fragment) 		0	0	MCOLN1
Q53XC8	Full-length cDNA clone CS0DC014YE11 of Neuroblastoma of Homo sapiens (human) 	XRCC3	150001.09375	0	XRCC3
Q5D862	Filaggrin-2 	FLG2	0	268384.4375	FLG2
Q5EC54	Heterogeneous nuclear ribonucleoprotein K transcript variant 	HNRPK	4824762.609375	1667240.03125	HNRPK
Q5HYG7	Uncharacterized protein DKFZp686M24262 	DKFZp686M24262	2995415.984375	2688578.5	DKFZp686M24262
Q5HYL6	Uncharacterized protein DKFZp686E1899 	DKFZp686E1899	837398.6875	0	DKFZp686E1899
Q5IRN4	Myocyte enhancer factor 2D/deleted in azoospermia associated protein 1 fusion protein 	MEF2D/DAZAP1	359510.1875	0	MEF2D/DAZAP1
Q5JWF2	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas 	GNAS	4046404.265625	2202708.25	GNAS
Q5LJA9	Ubiquitin carboxyl-terminal hydrolase (Fragment) 	UCHL5	77060.1640625	0	UCHL5
Q5T749	Keratinocyte proline-rich protein 	KPRP	398141.1640625	220083.375	KPRP
Q5TEU4	Arginine-hydroxylase NDUFAF5, mitochondrial 	NDUFAF5	0	717931.328125	NDUFAF5
Q5TH30	NDRG family member 3, isoform CRA_c 	NDRG3	0	296115.0625	NDRG3
Q5TZP7	DNA-(apurinic or apyrimidinic site) lyase 	APEX1	31123057	14392778.4375	APEX1
Q5U5J2	CSNK2A1 protein 	CSNK2A1	7078046	4308253.71875	CSNK2A1
Q5U676	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase (Fragment) 	B3GAT3	0	0	B3GAT3
Q5VVQ6	Ubiquitin thioesterase OTU1 	YOD1	129958.25	0	YOD1
Q5VW38	Protein GPR107 	GPR107	0	212688.625	GPR107
Q5VWC4	26S proteasome non-ATPase regulatory subunit 4 	PSMD4	184793.515625	0	PSMD4
Q6FGQ5	ASGR1 protein (Fragment) 	ASGR1	251011.9375	238352.90625	ASGR1
Q6FI81	Anamorsin 	CIAPIN1	14247923.78125	4960133.3359375	CIAPIN1
Q6IBS0	Twinfilin-2 	TWF2	2587431.65625	1308379.5625	TWF2
Q6IN84	rRNA methyltransferase 1, mitochondrial 	MRM1	0	847808.40625	MRM1
Q6IPH7	RPL14 protein 	RPL14	240975.453125	0	RPL14
Q6NSW5	Putative protein FAM45B 	FAM45BP	432591.375	0	DENND10P1
Q6P1Q9	Methyltransferase-like protein 2B 	METTL2B	349515.96875	0	METTL2B
Q6P4A7	Sideroflexin-4 	SFXN4	0	383388.96875	SFXN4
Q6PK18	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3 	OGFOD3	529068	875872.3125	OGFOD3
Q6UWM9	UDP-glucuronosyltransferase 2A3 	UGT2A3	160540.03125	0	UGT2A3
Q6UXH1	Cysteine-rich with EGF-like domain protein 2 	CRELD2	767788.1875	1527067.0625	CRELD2
Q70UQ0	Inhibitor of nuclear factor kappa-B kinase-interacting protein 	IKBIP	544742.5	692356.046875	IKBIP
Q71RG4	Transmembrane and ubiquitin-like domain-containing protein 2 	TMUB2	0	109452.6328125	TMUB2
Q7L2H7	Eukaryotic translation initiation factor 3 subunit M 	EIF3M	4379756.390625	4504099.9375	EIF3M
Q7Z460	CLIP-associating protein 1 	CLASP1	345865.71875	0	CLASP1
Q7Z4F1	Low-density lipoprotein receptor-related protein 10 	LRP10	0	140135.28125	LRP10
Q7Z6M4	Transcription termination factor 4, mitochondrial 	MTERF4	558949.9375	0	MTERF4
Q86T03	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase 	PIP4P1	0	151215.203125	PIP4P1
Q86X29	Lipolysis-stimulated lipoprotein receptor 	LSR	0	85738.59375	LSR
Q86X69	PON2 protein 		0	469436.34375	PON2
Q86XE5	4-hydroxy-2-oxoglutarate aldolase, mitochondrial 	HOGA1	0	0	HOGA1
Q86Y82	Syntaxin-12 	STX12	2917248.3515625	3794573.140625	STX12
Q86YZ3	Hornerin 	HRNR	0	726772.6875	HRNR
Q8IVM0	Coiled-coil domain-containing protein 50 	CCDC50	188253.53125	0	CCDC50
Q8IVS2	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial 	MCAT	3789653.875	4118221.625	MCAT
Q8IW90	MTCH1 protein (Fragment) 	MTCH1	1099016.3125	927943.84375	MTCH1
Q8IWD4	Coiled-coil domain-containing protein 117 	CCDC117	340899.8125	143424.5	CCDC117
Q8IWE4	DCN1-like protein 3 	DCUN1D3	0	85487.984375	DCUN1D3
Q8IYL3	UPF0688 protein C1orf174 	C1orf174	139797.203125	0	C1orf174
Q8IYU8	Calcium uptake protein 2, mitochondrial 	MICU2	1444552.03125	0	MICU2
Q8N0V3	Putative ribosome-binding factor A, mitochondrial 	RBFA	153913.59375	0	RBFA
Q8N1C8	HSPA9 protein (Fragment) 	HSPA9	491321.796875	1003572.78125	HSPA9
Q8N2K0	Monoacylglycerol lipase ABHD12 	ABHD12	695386.7109375	566802.234375	ABHD12
Q8N353	TMEM106B protein (Fragment) 	TMEM106B	4719919.8828125	2723318.1875	TMEM106B
Q8N8R5	UPF0565 protein C2orf69 	C2orf69	189012.078125	269926.53125	C2orf69
Q8N999	Uncharacterized protein C12orf29 	C12orf29	808536.09375	0	C12orf29
Q8NBI6	Xyloside xylosyltransferase 1 	XXYLT1	0	223276.28125	XXYLT1
Q8NBK3	Formylglycine-generating enzyme 	SUMF1	0	419756.40625	SUMF1
Q8NBS9	Thioredoxin domain-containing protein 5 	TXNDC5	1178084.625	230771.28125	TXNDC5
Q8NBU5	ATPase family AAA domain-containing protein 1 	ATAD1	664805.875	3715419.40625	ATAD1
Q8NBX0	Saccharopine dehydrogenase-like oxidoreductase 	SCCPDH	151604.484375	137213.765625	SCCPDH
Q8NCC3	Group XV phospholipase A2 	PLA2G15	71386.4140625	222345.71875	PLA2G15
Q8NET6	Carbohydrate sulfotransferase 13 	CHST13	153199.1875	0	CHST13
Q8NEW0	Zinc transporter 7 	SLC30A7	517088.34375	1346940.40625	SLC30A7
Q8NFH4	Nucleoporin Nup37 	NUP37	1233364.609375	454956.5625	NUP37
Q8NHP8	Putative phospholipase B-like 2 	PLBD2	765941.46875	3520507.34375	PLBD2
Q8TB36	Ganglioside-induced differentiation-associated protein 1 	GDAP1	1526499.9375	3396536.28125	GDAP1
Q8TBM8	DnaJ homolog subfamily B member 14 	DNAJB14	744054.2421875	0	DNAJB14
Q8TD22	Sideroflexin-5 	SFXN5	111840.1015625	311320.84375	SFXN5
Q8TE02	Elongator complex protein 5 	ELP5	279402.9375	0	ELP5
Q8TF65	PDZ domain-containing protein GIPC2 	GIPC2	0	283844.0625	GIPC2
Q8WVY7	Ubiquitin-like domain-containing CTD phosphatase 1 	UBLCP1	6516211.65625	4546719.078125	UBLCP1
Q8WWH5	Probable tRNA pseudouridine synthase 1 	TRUB1	4452102.0546875	2012745.53125	TRUB1
Q8WWM7	Ataxin-2-like protein 	ATXN2L	191471.890625	0	ATXN2L
Q8WWV3	Reticulon-4-interacting protein 1, mitochondrial 	RTN4IP1	555821.484375	1642901.515625	RTN4IP1
Q92542	Nicastrin 	NCSTN	0	0	NCSTN
Q92604	Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 	LPGAT1	156932.765625	0	LPGAT1
Q92643	GPI-anchor transamidase 	PIGK	899506.8203125	0	PIGK
Q92665	28S ribosomal protein S31, mitochondrial 	MRPS31	8318347.2421875	5887772.484375	MRPS31
Q92804	TATA-binding protein-associated factor 2N 	TAF15	0	0	TAF15
Q92890	Ubiquitin recognition factor in ER-associated degradation protein 1 	UFD1	3987535.046875	2959200.421875	UFD1
Q92973	Transportin-1 	TNPO1	140170.140625	0	TNPO1
Q969V5	Mitochondrial ubiquitin ligase activator of NFKB 1 	MUL1	249502.8125	152864.84375	MUL1
Q969Z3	Mitochondrial amidoxime reducing component 2 	MARC2	103319.6875	0	MTARC2
Q96AG4	Leucine-rich repeat-containing protein 59 	LRRC59	478319.09375	5635747.375	LRRC59
Q96BW5	Phosphotriesterase-related protein 	PTER	0	0	PTER
Q96BZ9	TBC1 domain family member 20 	TBC1D20	124033.640625	326039.1171875	TBC1D20
Q96C23	Aldose 1-epimerase 	GALM	4378148	1083336.09375	GALM
Q96CS3	FAS-associated factor 2 	FAF2	505438.625	369207.125	FAF2
Q96DH6	RNA-binding protein Musashi homolog 2 	MSI2	769234.0625	2151542.875	MSI2
Q96DP5	Methionyl-tRNA formyltransferase, mitochondrial 	MTFMT	0	73734.9921875	MTFMT
Q96DV4	39S ribosomal protein L38, mitochondrial 	MRPL38	11690979.3125	10742110.875	MRPL38
Q96ER9	Coiled-coil domain-containing protein 51 	CCDC51	0	151111.453125	CCDC51
Q96EY1	DnaJ homolog subfamily A member 3, mitochondrial 	DNAJA3	4581422.46875	2958221.6875	DNAJA3
Q96FZ2	Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein 	HMCES	336760.8828125	201618.609375	HMCES
Q96GS4	BLOC-1-related complex subunit 6 	BORCS6	88355.59375	0	BORCS6
Q96H79	Zinc finger CCCH-type antiviral protein 1-like 	ZC3HAV1L	416939.9375	0	ZC3HAV1L
Q96HE7	ERO1-like protein alpha 	ERO1A	0	234836.28125	ERO1A
Q96I99	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial 	SUCLG2	0	0	SUCLG2
Q96J01	THO complex subunit 3 	THOC3	1958514.34375	0	THOC3
Q96L58	Beta-1,3-galactosyltransferase 6 	B3GALT6	255919.328125	85438.265625	B3GALT6
Q96P53	WD repeat and FYVE domain-containing protein 2 	WDFY2	99694.46875	0	WDFY2
Q96P63	Serpin B12 	SERPINB12	0	0	SERPINB12
Q96PC5	Melanoma inhibitory activity protein 2 	MIA2	0	0	MIA2
Q96PU8	Protein quaking 	QKI	1958180.53125	1214099.796875	QKI
Q96QR8	Transcriptional activator protein Pur-beta 	PURB	4196590.359375	176998.0625	PURB
Q96RZ2	N-acetylglucosamine-1-phosphate transferase, gamma subunit, isoform CRA_b 	RJD9	0	0	RJD9
Q96S66	Chloride channel CLIC-like protein 1 	CLCC1	0	474396.015625	CLCC1
Q99447	Ethanolamine-phosphate cytidylyltransferase 	PCYT2	209879.03125	0	PCYT2
Q99615	DnaJ homolog subfamily C member 7 	DNAJC7	0	0	DNAJC7
Q99747	Gamma-soluble NSF attachment protein 	NAPG	5635596.4375	16913209	NAPG
Q99873	Protein arginine N-methyltransferase 1 	PRMT1	13485027.3359375	3581558.8125	PRMT1
Q99988	Growth/differentiation factor 15 	GDF15	0	0	GDF15
Q9BRP4	Proteasomal ATPase-associated factor 1 	PAAF1	873031	0	PAAF1
Q9BTU6	Phosphatidylinositol 4-kinase type 2-alpha 	PI4K2A	0	0	PI4K2A
Q9BV79	Enoyl-[acyl-carrier-protein] reductase, mitochondrial 	MECR	2264667.53125	2279066.296875	MECR
Q9BYD3	39S ribosomal protein L4, mitochondrial 	MRPL4	5006262.140625	7545933.28125	MRPL4
Q9BYG3	MKI67 FHA domain-interacting nucleolar phosphoprotein 	NIFK	470950.40625	426375.171875	NIFK
Q9H1A3	Methyltransferase-like protein 9 	METTL9	0	94674.109375	METTL9
Q9H1E5	Thioredoxin-related transmembrane protein 4 	TMX4	215530.46875	196005.625	TMX4
Q9H2P9	Diphthine methyl ester synthase 	DPH5	721937.203125	312321.09375	DPH5
Q9H2U2	Inorganic pyrophosphatase 2, mitochondrial 	PPA2	1160633.5625	1449345.6875	PPA2
Q9H488	GDP-fucose protein O-fucosyltransferase 1 	POFUT1	7973994.40625	5610003.4296875	POFUT1
Q9H4A6	Golgi phosphoprotein 3 	GOLPH3	0	186971.640625	GOLPH3
Q9H4B0	Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial 	OSGEPL1	219037.890625	0	OSGEPL1
Q9H4K7	Mitochondrial ribosome-associated GTPase 2 	MTG2	469223.01171875	0	MTG2
Q9H5Q4	Dimethyladenosine transferase 2, mitochondrial 	TFB2M	332999.6875	242474.96875	TFB2M
Q9H6L2	Transmembrane protein 231 	TMEM231	478836.78125	103978.1875	TMEM231
Q9H832	Ubiquitin-conjugating enzyme E2 Z 	UBE2Z	2880975.3203125	449118.1875	UBE2Z
Q9H9B4	Sideroflexin-1 	SFXN1	0	94657.1015625	SFXN1
Q9HAT2	Sialate O-acetylesterase 	SIAE	0	163260.78125	SIAE
Q9HB07	NA	NA	NA	NA	MYG1
Q9HBK9	Arsenite methyltransferase 	AS3MT	489934.23828125	451512.3125	AS3MT
Q9HC07	Transmembrane protein 165 	TMEM165	0	827592.203125	TMEM165
Q9HD23	Magnesium transporter MRS2 homolog, mitochondrial 	MRS2	1244178.40625	162610.875	MRS2
Q9HDC9	Adipocyte plasma membrane-associated protein 	APMAP	4050161.9375	5781869.78125	APMAP
Q9NP79	Vacuolar protein sorting-associated protein VTA1 homolog 	VTA1	2085548.625	261369.953125	VTA1
Q9NQC3	Reticulon-4 	RTN4	432949.875	2145321.84375	RTN4
Q9NQG5	Regulation of nuclear pre-mRNA domain-containing protein 1B 	RPRD1B	3353312.28125	7897422.375	RPRD1B
Q9NR45	Sialic acid synthase 	NANS	439192.40625	3140508.9375	NANS
Q9NS68	Tumor necrosis factor receptor superfamily member 19 	TNFRSF19	0	0	TNFRSF19
Q9NSE4	Isoleucine--tRNA ligase, mitochondrial 	IARS2	0	203184.84375	IARS2
Q9NUD5	Zinc finger CCHC domain-containing protein 3 	ZCCHC3	0	0	ZCCHC3
Q9NUQ2	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon 	AGPAT5	0	239174.859375	AGPAT5
Q9NV92	NEDD4 family-interacting protein 2 	NDFIP2	0	0	NDFIP2
Q9NVT9	Armadillo repeat-containing protein 1 	ARMC1	3085588.234375	1732300.25	ARMC1
Q9NWY4	Histone PARylation factor 1 	HPF1	0	0	HPF1
Q9NX40	OCIA domain-containing protein 1 	OCIAD1	10554807.875	7688502.96875	OCIAD1
Q9NX46	ADP-ribose glycohydrolase ARH3 	ADPRHL2	0	496142.375	ADPRS
Q9NXR1	Nuclear distribution protein nudE homolog 1 	NDE1	215762.984375	0	NDE1
Q9NXS2	Glutaminyl-peptide cyclotransferase-like protein 	QPCTL	2476731.125	927355.5	QPCTL
Q9NXW2	DnaJ homolog subfamily B member 12 	DNAJB12	6726707.4375	0	DNAJB12
Q9NZI8	Insulin-like growth factor 2 mRNA-binding protein 1 	IGF2BP1	132993.953125	0	IGF2BP1
Q9NZU5	LIM and cysteine-rich domains protein 1 	LMCD1	1299485.5625	221961.109375	LMCD1
Q9P031	Thyroid transcription factor 1-associated protein 26 	CCDC59	818589.5625	0	CCDC59
Q9P1Y5	Calmodulin-regulated spectrin-associated protein 3 	CAMSAP3	260483.859375	0	CAMSAP3
Q9P287	BRCA2 and CDKN1A-interacting protein 	BCCIP	0	0	BCCIP
Q9P2W9	Syntaxin-18 	STX18	1206356.9375	104304.546875	STX18
Q9UBS4	DnaJ homolog subfamily B member 11 	DNAJB11	9683759.453125	13308789.9375	DNAJB11
Q9UH62	Armadillo repeat-containing X-linked protein 3 	ARMCX3	7062203.0625	5464303.75	ARMCX3
Q9UHD8	Septin-9 	SEPT9	1550442.203125	270587.9375	SEPTIN9
Q9UHW5	GPN-loop GTPase 3 	GPN3	235116.171875	0	GPN3
Q9UJZ1	Stomatin-like protein 2, mitochondrial 	STOML2	72639083.125	79816790.53125	STOML2
Q9UMP7	G4 protein 	G4	0	105068.265625	G4
Q9UNF0	Protein kinase C and casein kinase substrate in neurons protein 2 	PACSIN2	225731.375	0	PACSIN2
Q9UNN8	Endothelial protein C receptor 	PROCR	0	345203.5859375	PROCR
Q9Y266	Nuclear migration protein nudC 	NUDC	30166804.828125	2893846.3203125	NUDC
Q9Y295	Developmentally-regulated GTP-binding protein 1 	DRG1	10678318.078125	3683569.484375	DRG1
Q9Y2H0	Disks large-associated protein 4 	DLGAP4	535783.6640625	0	DLGAP4
Q9Y2P8	RNA 3-terminal phosphate cyclase-like protein 	RCL1	212895.5	0	RCL1
Q9Y2S7	Polymerase delta-interacting protein 2 	POLDIP2	1343561.75	6012767.953125	POLDIP2
Q9Y305	Acyl-coenzyme A thioesterase 9, mitochondrial 	ACOT9	3962393.0390625	793168.265625	ACOT9
Q9Y385	Ubiquitin-conjugating enzyme E2 J1 	UBE2J1	1334291.96875	897003.6953125	UBE2J1
